1;ALIANZA MEI GENERAL;admin;NULL;NULL;NULL
2;INTERMUNICIPAL;admin;NULL;NULL;NULL
3;CIUDAD BOLIVAR;admin;NULL;NULL;NULL
4;COOTRANESA;admin;NULL;NULL;NULL
5;MEI COOTRASANA;admin;NULL;NULL;NULL
6;MICROS METRO ESTRELLA;admin;NULL;NULL;NULL
7;MICROS METRO ITAGUI SABANETA;admin;NULL;NULL;NULL
8;MICROS METRO PRADO ITAGUI;admin;NULL;NULL;NULL
9;MICROS VILLALIA - MEDELLIN;admin;NULL;NULL;NULL
10;MICROS VILLALIA - METRO;admin;NULL;NULL;NULL
11;PRADO BUSES;admin;NULL;NULL;NULL
12;PRADO MICRO CIRCULAR;admin;NULL;NULL;NULL
13;ESPECIALES;admin;NULL;NULL;NULL
14;TAXIS PRADO;admin;NULL;NULL;NULL
15;TAXIS SABANETA;admin;NULL;NULL;NULL
16;NO DEFINIDO;admin;NULL;NULL;NULL
